name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
lp__,-150000.0,15.0,35.0,-150000.0,-150000.0,-150000.0,5.5,1.5e-05,1.3
mu_pr[1],-2.0,0.001,0.028,-2.1,-2.0,-2.0,798.0,0.0023,1.0
mu_pr[2],-2.3,0.0086,0.05,-2.3,-2.3,-2.2,34.0,9.6e-05,1.1
mu_pr[3],-1.9,0.046,0.11,-2.0,-1.9,-1.7,6.0,1.7e-05,1.2
mu_pr[4],-0.36,0.01,0.12,-0.57,-0.35,-0.16,149.0,0.00042,1.0
mu_pr[5],0.043,0.0078,0.038,-0.014,0.041,0.11,23.0,6.6e-05,1.1
mu_pr[6],0.074,0.0049,0.014,0.052,0.073,0.097,8.2,2.3e-05,1.2
mu_pr[7],0.06,0.0027,0.011,0.043,0.059,0.078,15.0,4.3e-05,1.1
sigma[1],0.24,0.0087,0.027,0.2,0.24,0.29,9.4,2.7e-05,1.1
sigma[2],0.46,0.0085,0.042,0.39,0.46,0.53,24.0,6.8e-05,1.1
sigma[3],0.87,0.035,0.09,0.74,0.86,1.0,6.5,1.8e-05,1.2
sigma[4],1.1,0.059,0.16,0.84,1.1,1.4,7.6,2.2e-05,1.2
sigma[5],0.3,0.015,0.047,0.23,0.3,0.38,9.9,2.8e-05,1.1
sigma[6],0.082,0.0052,0.014,0.061,0.081,0.11,6.8,1.9e-05,1.2
sigma[7],0.073,0.0045,0.012,0.055,0.072,0.093,6.8,1.9e-05,1.2
beta_samp[1],1.4,0.0095,0.44,0.76,1.4,2.2,2123.0,0.006,1.0
beta_samp[2],0.52,0.026,0.24,0.14,0.51,0.93,86.0,0.00024,1.0
beta_samp[3],0.41,0.066,0.59,-0.49,0.39,1.4,79.0,0.00022,1.0
beta_samp[4],0.46,0.027,0.19,0.16,0.46,0.77,47.0,0.00013,1.0
beta_samp[5],0.15,0.0074,0.17,-0.13,0.15,0.44,555.0,0.0016,1.0
beta_samp[6],0.19,0.055,0.54,-0.66,0.17,1.1,97.0,0.00027,1.0
beta_samp[7],-0.44,0.0099,0.46,-1.2,-0.45,0.32,2118.0,0.006,1.0
beta_samp[8],0.3,0.02,0.23,-0.063,0.3,0.69,141.0,0.0004,1.0
beta_samp[9],0.34,0.0087,0.4,-0.25,0.31,1.1,2121.0,0.006,1.0
beta_samp[10],0.69,0.026,0.59,-0.25,0.68,1.7,530.0,0.0015,1.0
beta_samp[11],0.52,0.08,0.36,0.032,0.48,1.2,20.0,5.6e-05,1.1
beta_samp[12],-1.8,0.014,0.61,-2.7,-1.8,-0.69,1947.0,0.0055,1.0
beta_samp[13],-1.4,0.014,0.56,-2.3,-1.5,-0.43,1579.0,0.0045,1.0
beta_samp[14],0.71,0.033,0.22,0.35,0.71,1.1,44.0,0.00012,1.0
beta_samp[15],-0.11,0.0081,0.36,-0.7,-0.11,0.48,1920.0,0.0054,1.0
beta_samp[16],0.051,0.026,0.49,-0.72,0.064,0.82,347.0,0.00098,1.0
beta_samp[17],0.55,0.014,0.58,-0.43,0.56,1.5,1626.0,0.0046,1.0
beta_samp[18],-0.72,0.029,0.54,-1.8,-0.6,-0.038,353.0,0.001,1.0
beta_samp[19],-1.6,0.056,0.62,-2.6,-1.7,-0.57,122.0,0.00035,1.0
beta_samp[20],-0.48,0.0054,0.28,-0.96,-0.47,-0.042,2699.0,0.0076,1.0
beta_samp[21],0.6,0.023,0.27,0.17,0.59,1.1,134.0,0.00038,1.0
beta_samp[22],0.17,0.0072,0.31,-0.3,0.16,0.71,1777.0,0.005,1.0
beta_samp[23],-0.14,0.005,0.2,-0.47,-0.13,0.19,1565.0,0.0044,1.0
beta_samp[24],-0.25,0.0066,0.34,-0.8,-0.25,0.31,2651.0,0.0075,1.0
beta_samp[25],-0.78,0.0073,0.33,-1.3,-0.77,-0.26,2043.0,0.0058,1.0
beta_samp[26],0.76,0.028,0.24,0.38,0.76,1.2,72.0,0.0002,1.0
beta_samp[27],-0.28,0.011,0.62,-1.3,-0.26,0.69,2978.0,0.0084,1.0
beta_samp[28],0.41,0.012,0.58,-0.39,0.33,1.5,2206.0,0.0062,1.0
beta_samp[29],0.12,0.0064,0.28,-0.35,0.12,0.58,1955.0,0.0055,1.0
beta_samp[30],-0.71,0.026,0.83,-2.0,-0.75,0.7,1006.0,0.0028,1.0
beta_samp[31],-1.5,0.018,0.64,-2.5,-1.5,-0.39,1250.0,0.0035,1.0
beta_samp[32],-0.84,0.012,0.63,-1.9,-0.83,0.18,2636.0,0.0075,1.0
beta_samp[33],-0.017,0.0057,0.28,-0.47,-0.015,0.42,2357.0,0.0067,1.0
beta_samp[34],-0.57,0.0099,0.47,-1.4,-0.53,0.14,2229.0,0.0063,1.0
beta_samp[35],-1.1,0.0083,0.3,-1.6,-1.1,-0.64,1302.0,0.0037,1.0
beta_samp[36],-0.23,0.052,0.75,-1.7,-0.18,0.88,208.0,0.00059,1.0
beta_samp[37],-0.37,0.006,0.27,-0.81,-0.37,0.073,2008.0,0.0057,1.0
beta_samp[38],0.67,0.014,0.66,-0.42,0.66,1.8,2268.0,0.0064,1.0
beta_samp[39],-0.45,0.0051,0.22,-0.8,-0.45,-0.07,1860.0,0.0053,1.0
beta_samp[40],-1.1,0.017,0.59,-2.0,-1.1,-0.074,1225.0,0.0035,1.0
beta_samp[41],0.35,0.013,0.54,-0.49,0.35,1.3,1663.0,0.0047,1.0
beta_samp[42],0.89,0.0079,0.41,0.24,0.87,1.6,2703.0,0.0077,1.0
beta_samp[43],-0.055,0.006,0.28,-0.5,-0.06,0.41,2163.0,0.0061,1.0
beta_samp[44],2.7,0.051,0.66,1.7,2.7,3.9,169.0,0.00048,1.0
beta_samp[45],0.35,0.0096,0.43,-0.31,0.33,1.1,1973.0,0.0056,1.0
beta_samp[46],0.87,0.022,0.36,0.35,0.84,1.5,258.0,0.00073,1.0
beta_samp[47],0.33,0.027,0.28,-0.14,0.32,0.79,109.0,0.00031,1.0
beta_samp[48],-0.85,0.0072,0.33,-1.4,-0.86,-0.31,2095.0,0.0059,1.0
beta_samp[49],-1.3,0.0057,0.26,-1.7,-1.2,-0.84,2075.0,0.0059,1.0
beta_samp[50],1.3,0.056,0.24,0.91,1.3,1.7,18.0,5.2e-05,1.1
beta_samp[51],2.8,0.046,0.52,2.0,2.8,3.7,129.0,0.00037,1.0
beta_samp[52],0.28,0.75,1.1,-0.69,-0.23,2.4,2.1,6e-06,4.0
beta_samp[53],1.1,0.54,0.85,-0.39,1.3,2.2,2.5,7e-06,2.2
beta_samp[54],-0.28,0.0067,0.33,-0.8,-0.29,0.3,2508.0,0.0071,1.0
beta_samp[55],0.0026,0.0071,0.28,-0.41,-0.016,0.47,1516.0,0.0043,1.0
beta_samp[56],1.4,0.013,0.71,0.16,1.4,2.5,2985.0,0.0085,1.0
beta_samp[57],-0.11,0.0052,0.26,-0.51,-0.12,0.35,2576.0,0.0073,1.0
beta_samp[58],0.017,0.0057,0.25,-0.4,0.016,0.44,1971.0,0.0056,1.0
beta_samp[59],1.0,0.012,0.45,0.32,1.0,1.8,1538.0,0.0044,1.0
beta_samp[60],-0.47,0.0047,0.2,-0.81,-0.47,-0.15,1862.0,0.0053,1.0
beta_samp[61],-0.11,0.0046,0.19,-0.42,-0.11,0.21,1750.0,0.005,1.0
beta_samp[62],1.4,0.012,0.65,0.31,1.4,2.4,2909.0,0.0082,1.0
beta_samp[63],-0.51,0.0053,0.22,-0.85,-0.51,-0.15,1691.0,0.0048,1.0
beta_samp[64],-1.6,0.011,0.31,-2.1,-1.6,-1.1,771.0,0.0022,1.0
beta_samp[65],0.51,0.011,0.55,-0.33,0.47,1.5,2682.0,0.0076,1.0
beta_samp[66],0.32,0.0072,0.29,-0.14,0.31,0.8,1598.0,0.0045,1.0
beta_samp[67],-0.92,0.012,0.52,-1.7,-0.96,-0.016,1969.0,0.0056,1.0
beta_samp[68],-1.5,0.016,0.68,-2.6,-1.6,-0.34,1755.0,0.005,1.0
beta_samp[69],-0.076,0.0092,0.32,-0.55,-0.1,0.52,1226.0,0.0035,1.0
beta_samp[70],-0.41,0.007,0.31,-0.95,-0.39,0.043,1987.0,0.0056,1.0
beta_samp[71],0.025,0.005,0.2,-0.31,0.024,0.35,1625.0,0.0046,1.0
beta_samp[72],0.066,0.0067,0.4,-0.58,0.06,0.73,3517.0,0.01,1.0
beta_samp[73],-0.48,0.0074,0.28,-0.93,-0.49,0.021,1476.0,0.0042,1.0
beta_samp[74],1.1,0.012,0.6,0.14,1.1,2.1,2465.0,0.007,1.0
beta_samp[75],-0.36,0.0061,0.28,-0.79,-0.37,0.12,2108.0,0.006,1.0
beta_samp[76],-1.1,0.013,0.58,-2.0,-1.1,-0.043,1926.0,0.0055,1.0
beta_samp[77],0.93,0.037,0.24,0.55,0.92,1.3,42.0,0.00012,1.0
beta_samp[78],0.94,0.011,0.62,-0.031,0.9,2.0,3013.0,0.0085,1.0
beta_samp[79],-0.76,0.0062,0.36,-1.4,-0.75,-0.21,3402.0,0.0096,1.0
beta_samp[80],-1.3,0.015,0.59,-2.4,-1.3,-0.48,1610.0,0.0046,1.0
beta_samp[81],1.6,0.053,0.51,0.77,1.6,2.5,94.0,0.00027,1.0
beta_samp[82],-0.45,0.0088,0.45,-1.2,-0.45,0.28,2579.0,0.0073,1.0
beta_samp[83],0.064,0.025,0.86,-1.3,0.072,1.5,1167.0,0.0033,1.0
beta_samp[84],0.7,0.017,0.63,-0.28,0.67,1.8,1317.0,0.0037,1.0
beta_samp[85],0.093,0.22,0.53,-0.94,0.16,0.82,5.6,1.6e-05,1.2
beta_samp[86],-0.23,0.016,0.55,-1.0,-0.27,0.73,1241.0,0.0035,1.0
beta_samp[87],-0.31,0.0044,0.15,-0.54,-0.32,-0.054,1178.0,0.0033,1.0
beta_samp[88],-0.73,0.0086,0.44,-1.4,-0.74,0.033,2687.0,0.0076,1.0
beta_samp[89],-0.31,0.0055,0.27,-0.74,-0.3,0.13,2411.0,0.0068,1.0
beta_samp[90],1.4,0.77,1.2,-1.1,1.8,2.8,2.5,7e-06,2.2
beta_samp[91],0.29,0.48,0.77,-0.43,0.0056,2.0,2.6,7.3e-06,2.1
beta_samp[92],0.78,0.032,0.25,0.4,0.76,1.2,58.0,0.00017,1.0
beta_samp[93],-0.13,0.0061,0.3,-0.63,-0.11,0.32,2429.0,0.0069,1.0
beta_samp[94],-0.21,0.014,0.48,-1.1,-0.14,0.44,1128.0,0.0032,1.0
beta_samp[95],-0.46,0.011,0.58,-1.4,-0.48,0.51,3021.0,0.0086,1.0
